Knife, Sword, 0, 0, 50, 0, 3, Class.Beginner | Class.Knight | Class.Swordsman
Bamboo Knife, Sword, 0, 0, 70, 0, 4, Class.Beginner | Class.Knight | Class.Swordsman
Wooden Sword, Sword, 0, 0, 80, 0, 5, Class.Beginner | Class.Knight | Class.Swordsman
Dagger, Sword, 0, 0, 100, 0, 8, Class.Beginner | Class.Knight | Class.Swordsman
Short Sword, Sword, 0, 0, 120, 0, 11, Class.Beginner | Class.Knight | Class.Swordsman
Fleuret, Sword, 55, 20, 150, 0, 15, Class.Knight | Class.Swordsman
Rapier, Sword, 64, 22, 180, 0, 16, Class.Knight | Class.Swordsman
Bronze Sword, Sword, 73, 24, 190, , , Class.Swordsman
Saber, Sword, 83, 26, 200, 0, 19, Class.Knight | Class.Swordsman
Epee, Sword, 103, 33, 220, 0, 26, Class.Knight | Class.Swordsman
Blade, Sword, 122, 37, 300, 0, 25, Class.Knight | Class.Swordsman
Hanger, Sword, 141, 42, 400, 0, 0, Class.Knight | Class.Swordsman
Saver, Sword, 151, 46, 400, 0, 0, Class.Knight | Class.Swordsman
Simitar, Sword, 160, 49, 450, 0, 0, Class.Knight | Class.Swordsman
Long Sword, Sword, 180, 54, 350, 0, 0, Class.Knight | Class.Swordsman
Cutlass, Sword, 180, 54, 450, 0, 0, Class.Knight | Class.Swordsman
Iron Sword, Sword, 204, 61, 420, 0, 0, Class.Knight | Class.Swordsman
Broad Sword, Sword, 277, 81, 480, 0, 0, Class.Knight | Class.Swordsman
Falchion, Sword, 351, 101, 500, 0, 0, Class.Knight | Class.Swordsman
Claymore, Sword, 400, 115, 550, 0, 0, Class.Knight | Class.Swordsman
Oriental Sword, Sword, 425, 123, 575, , , Class.Swordsman
Gladius, Sword, 450, 129, 600, 0, 0, Class.Knight | Class.Swordsman
Tuck, Sword, 500, 144, 650, 0, 0, Class.Knight | Class.Swordsman
Samurai Sword, Sword, 550, 157, 800, 0, 0, Class.Swordsman
Bastard Sword, Sword, 566, 160, 800, 0, 0, Class.Knight
Seven-Star Sword, Sword, 583, 166, 900, 0, 0, Class.Swordsman
Corea Sword, Sword, 600, 171, 900, 130, 0, Class.Swordsman
Two-Hand Sword, Sword, 500, 144, 900, 122, 0, Class.Knight
Great Sword, Sword, 620, 176, 1200, 157, 0, Class.Knight
Troy, Sword, 620, 0, 1200, , , Class.Knight | Class.Swordsman
Hatchet, Axe, 50, 0, 120, 0, 13, Class.Knight
Small Axe, Axe, 74, 0, 200, 0, 18, Class.Knight
One-Edged Axe, Axe, 112, 34, 300, 0, 24, Class.Knight
Ice Axe, Axe, 253, 81, 500, 0, 0, Class.Knight
Two-Bladed Axe, Axe, 425, 123, 600, 0, 0, Class.Knight
Broad Axe, Axe, 302, 95, 700, 0, 0, Class.Knight
Large Axe, Axe, 420, 123, 850, 0, 0, Class.Knight
Battle Axe, Axe, 540, 153, 950, 0, 0, Class.Knight
Great Axe, Axe, 660, 189, 1100, 168, 0, Class.Knight
Club, Hammer, 18, 0, 80, 0, 7, Class.Knight
Sickle, Hammer, 30, 0, 150, 0, 9, Class.Knight
Saw, Hammer, 40, 0, 200, 0, 12, Class.Knight
Spiked Club, Hammer, 93, 30, 250, 0, 21, Class.Knight
Morning Star, Hammer, 131, 39, 300, 0, 35, Class.Knight
Mace, Hammer, 170, 50, 400, 0, 0, Class.Knight
Flail, Hammer, 326, 94, 500, 0, 0, Class.Knight
Hammer, Hammer, 375, 109, 650, 0, 0, Class.Knight
Hack, Hammer, 228, 67, 750, 0, 0, Class.Knight
War Hammer, Hammer, 525, 150, 750, 0, 0, Class.Knight
Large Hack, Hammer, 460, 133, 800, 0, 0, Class.Knight
Maul, Hammer, 475, 136, 900, 0, 0, Class.Knight
Halberd, Hammer, 580, 165, 950, 145, 0, Class.Knight
Great Maul, Hammer, 700, 200, 1000, 180, 0, Class.Knight
Hood, Helmet, 0, 0, 30, 4, 0, 0
Cap, Helmet, 0, 0, 65, 7, 0, 0
Headpiece, Helmet, 60, 18, 120, 0, 10, 0
Mask, Helmet, 101, 0, 180, 15, 0, 0
Bamboo Hat, Helmet, 121, 0, 230, , , Class.Shaman
